日期,股票代码,股票名称,连板数,第一次封板时间,最后封板时间,炸板次数,尾盘是否封板,封单金额_亿元,封单量,封单比,第二日开盘收益,第二日最高收益,第二日最低收益,第二日收盘收益,第三日收益,是否连板,涨停类型,第一次封板秒数,最后封板秒数,第一次封板分钟_距0930,最后封板分钟_距0930,首封时间段,炸板次数分组
2026-06-11,000032,深桑达Ａ,1.0,09:45:06,09:45:06,0.0,,0.6185636,,,0.0116279069767442,0.1,-0.0348837209302324,0.1,0.2098837209302324,True,首板,35106.0,35106.0,15.1,15.1,09:30-10:00,0次
2026-06-11,000048,京基智农,3.0,09:31:18,09:32:27,1.0,,0.73293179,,,-0.011218765935747,0.0800611932687405,-0.0362060173380928,-0.0356960734319224,-0.1142274349821519,False,三板,34278.0,34347.0,1.3,2.45,09:30-10:00,1次
2026-06-11,000631,顺发恒能,1.0,09:25:00,09:25:00,0.0,,1.05121824,,,0.0898203592814372,0.0898203592814372,-0.0119760479041916,0.0,-0.0299401197604789,False,首板,33900.0,33900.0,-5.0,-5.0,09:25-09:30,0次
2026-06-11,000688,国城矿业,1.0,13:10:24,14:50:36,7.0,,0.19588391,,,0.0150044130626654,0.0922330097087378,-0.0114739629302736,0.0350838481906441,0.0061782877316858,False,首板,47424.0,53436.0,220.4,320.6,13:00-14:00,4次及以上
2026-06-11,000921,海信家电,1.0,10:50:33,14:06:30,2.0,,0.40654658,,,0.0634812286689419,0.0853242320819112,-0.0215017064846415,-0.0204778156996587,-0.0283276450511945,False,首板,39033.0,50790.0,80.55,276.5,10:00-11:30,2-3次
2026-06-11,001257,盛龙股份,1.0,09:44:36,10:31:00,2.0,,0.67588288,,,0.1005185480654167,0.1005185480654167,0.1005185480654167,0.1005185480654167,0.2110091743119266,True,首板,35076.0,37860.0,14.6,61.0,09:30-10:00,2-3次
2026-06-11,001268,联合精密,1.0,13:19:33,13:19:33,0.0,,0.44931408,,,0.0162601626016261,0.0365853658536585,-0.0471066475370636,-0.0241511238641797,0.0200860832137732,False,首板,47973.0,47973.0,229.55,229.55,13:00-14:00,0次
2026-06-11,001696,宗申动力,1.0,10:30:06,10:50:15,2.0,,1.39280939,,,0.0264932562620423,0.1001926782273601,0.0231213872832367,0.1001926782273601,0.1006743737957611,True,首板,37806.0,39015.0,60.1,80.25,10:00-11:30,2-3次
2026-06-11,002119,康强电子,2.0,09:31:18,09:38:54,1.0,,1.19563579,,,0.0993589743589742,0.1,0.0006410256410256,0.0243589743589744,0.0820512820512819,True,二板,34278.0,34734.0,1.3,8.9,09:30-10:00,1次
2026-06-11,002165,红 宝 丽,2.0,13:27:24,13:38:09,1.0,,0.62245348,,,-0.0737499999999999,0.02875,-0.0737499999999999,-0.0374999999999999,-0.02,False,二板,48444.0,49089.0,237.4,248.15,13:00-14:00,1次
